1772669702.374065,Cables,15
1772669702.374065,MarChina,42
1772669702.374065,Espacio,20
1772669702.374065,Ciber,33
1772673301.9934764,Petroleo,35
1772673301.9934764,Maritimo,45
1772673301.9934764,Cables,15
1772673301.9934764,MarChina,42
1772673301.9934764,Espacio,20
1772673301.9934764,Ciber,33
1772676902.368387,Petroleo,35
1772676902.368387,Maritimo,45
1772676902.368387,Cables,15
1772676902.368387,MarChina,42
1772676902.368387,Espacio,20
1772676902.368387,Ciber,33
1772680502.5315905,Petroleo,35
1772680502.5315905,Maritimo,45
1772680502.5315905,Cables,15
1772680502.5315905,MarChina,42
1772680502.5315905,Espacio,20
1772680502.5315905,Ciber,33
1772684102.4651334,Petroleo,35
1772684102.4651334,Maritimo,45
1772684102.4651334,Cables,15
1772684102.4651334,MarChina,42
1772684102.4651334,Espacio,20
1772684102.4651334,Ciber,33
1772687701.973009,Petroleo,35
1772687701.973009,Maritimo,45
1772687701.973009,Cables,15
1772687701.973009,MarChina,42
1772687701.973009,Espacio,20
1772687701.973009,Ciber,33
1772691302.9663231,Petroleo,35
1772691302.9663231,Maritimo,45
1772691302.9663231,Cables,15
1772691302.9663231,MarChina,42
1772691302.9663231,Espacio,20
1772691302.9663231,Ciber,33
1772694902.1837127,Petroleo,35
1772694902.1837127,Maritimo,45
1772694902.1837127,Cables,15
1772694902.1837127,MarChina,42
1772694902.1837127,Espacio,20
1772694902.1837127,Ciber,33
1772698502.805624,Petroleo,35
1772698502.805624,Maritimo,45
1772698502.805624,Cables,15
1772698502.805624,MarChina,42
1772698502.805624,Espacio,20
1772698502.805624,Ciber,33
1772702102.3048708,Petroleo,35
1772702102.3048708,Maritimo,45
1772702102.3048708,Cables,15
1772702102.3048708,MarChina,42
1772702102.3048708,Espacio,20
1772702102.3048708,Ciber,33
1772705702.4318657,Petroleo,35
1772705702.4318657,Maritimo,45
1772705702.4318657,Cables,15
1772705702.4318657,MarChina,42
1772705702.4318657,Espacio,20
1772705702.4318657,Ciber,33
1772709302.7474856,Petroleo,35
1772709302.7474856,Maritimo,45
1772709302.7474856,Cables,15
1772709302.7474856,MarChina,42
1772709302.7474856,Espacio,20
1772709302.7474856,Ciber,33
1772712902.3583422,Petroleo,35
1772712902.3583422,Maritimo,45
1772712902.3583422,Cables,15
1772712902.3583422,MarChina,42
1772712902.3583422,Espacio,20
1772712902.3583422,Ciber,33
1772716502.3312294,Petroleo,35
1772716502.3312294,Maritimo,45
1772716502.3312294,Cables,15
1772716502.3312294,MarChina,42
1772716502.3312294,Espacio,20
1772716502.3312294,Ciber,33
1772720104.1603496,Petroleo,35
1772720104.1603496,Maritimo,45
1772720104.1603496,Cables,15
1772720104.1603496,MarChina,42
1772720104.1603496,Espacio,20
1772720104.1603496,Ciber,33
1772723702.2370627,Petroleo,35
1772723702.2370627,Maritimo,45
1772723702.2370627,Cables,15
1772723702.2370627,MarChina,42
1772723702.2370627,Espacio,20
1772723702.2370627,Ciber,33
1772727302.8763947,Petroleo,35
1772727302.8763947,Maritimo,45
1772727302.8763947,Cables,15
1772727302.8763947,MarChina,42
1772727302.8763947,Espacio,20
1772727302.8763947,Ciber,33
1772730902.4590883,Petroleo,35
1772730902.4590883,Maritimo,45
1772730902.4590883,Cables,15
1772730902.4590883,MarChina,42
1772730902.4590883,Espacio,20
1772730902.4590883,Ciber,33
1772734502.8612456,Petroleo,35
1772734502.8612456,Maritimo,45
1772734502.8612456,Cables,15
1772734502.8612456,MarChina,42
1772734502.8612456,Espacio,20
1772734502.8612456,Ciber,33
1772738102.9919186,Petroleo,35
1772738102.9919186,Maritimo,45
1772738102.9919186,Cables,15
1772738102.9919186,MarChina,42
1772738102.9919186,Espacio,20
1772738102.9919186,Ciber,33
1772741702.651938,Petroleo,35
1772741702.651938,Maritimo,45
1772741702.651938,Cables,15
1772741702.651938,MarChina,42
1772741702.651938,Espacio,20
1772741702.651938,Ciber,33
1772745301.9854667,Petroleo,35
1772745301.9854667,Maritimo,45
1772745301.9854667,Cables,15
1772745301.9854667,MarChina,42
1772745301.9854667,Espacio,20
1772745301.9854667,Ciber,33
1772748902.5960813,Petroleo,35
1772748902.5960813,Maritimo,45
1772748902.5960813,Cables,15
1772748902.5960813,MarChina,42
1772748902.5960813,Espacio,20
1772748902.5960813,Ciber,33
